PING 75.75.76.76 (75.75.76.76) 56(84) bytes of data.
64 bytes from 75.75.76.76: icmp_seq=136 ttl=53 time=47.4 ms
64 bytes from 75.75.76.76: icmp_seq=137 ttl=53 time=51.4 ms
64 bytes from 75.75.76.76: icmp_seq=138 ttl=53 time=48.8 ms
64 bytes from 75.75.76.76: icmp_seq=139 ttl=53 time=49.9 ms
64 bytes from 75.75.76.76: icmp_seq=140 ttl=53 time=76.8 ms
64 bytes from 75.75.76.76: icmp_seq=141 ttl=53 time=75.7 ms
64 bytes from 75.75.76.76: icmp_seq=142 ttl=53 time=61.6 ms
64 bytes from 75.75.76.76: icmp_seq=143 ttl=53 time=70.5 ms
64 bytes from 75.75.76.76: icmp_seq=144 ttl=53 time=63.9 ms
64 bytes from 75.75.76.76: icmp_seq=145 ttl=53 time=54.1 ms
64 bytes from 75.75.76.76: icmp_seq=146 ttl=53 time=50.9 ms
64 bytes from 75.75.76.76: icmp_seq=147 ttl=53 time=64.0 ms
64 bytes from 75.75.76.76: icmp_seq=148 ttl=53 time=50.3 ms
64 bytes from 75.75.76.76: icmp_seq=149 ttl=53 time=59.8 ms
64 bytes from 75.75.76.76: icmp_seq=150 ttl=53 time=61.1 ms
64 bytes from 75.75.76.76: icmp_seq=151 ttl=53 time=45.5 ms
64 bytes from 75.75.76.76: icmp_seq=152 ttl=53 time=57.0 ms
64 bytes from 75.75.76.76: icmp_seq=153 ttl=53 time=55.0 ms
64 bytes from 75.75.76.76: icmp_seq=154 ttl=53 time=53.7 ms
64 bytes from 75.75.76.76: icmp_seq=155 ttl=53 time=49.6 ms
64 bytes from 75.75.76.76: icmp_seq=156 ttl=53 time=47.1 ms
64 bytes from 75.75.76.76: icmp_seq=157 ttl=53 time=47.9 ms
64 bytes from 75.75.76.76: icmp_seq=158 ttl=53 time=53.1 ms
64 bytes from 75.75.76.76: icmp_seq=159 ttl=53 time=75.1 ms
64 bytes from 75.75.76.76: icmp_seq=160 ttl=53 time=52.5 ms
64 bytes from 75.75.76.76: icmp_seq=161 ttl=53 time=47.5 ms
64 bytes from 75.75.76.76: icmp_seq=162 ttl=53 time=65.9 ms
64 bytes from 75.75.76.76: icmp_seq=163 ttl=53 time=71.2 ms
64 bytes from 75.75.76.76: icmp_seq=164 ttl=53 time=67.1 ms
64 bytes from 75.75.76.76: icmp_seq=165 ttl=53 time=63.2 ms
64 bytes from 75.75.76.76: icmp_seq=166 ttl=53 time=64.8 ms
64 bytes from 75.75.76.76: icmp_seq=168 ttl=53 time=69.9 ms
64 bytes from 75.75.76.76: icmp_seq=169 ttl=53 time=48.5 ms
64 bytes from 75.75.76.76: icmp_seq=170 ttl=53 time=48.1 ms
64 bytes from 75.75.76.76: icmp_seq=171 ttl=53 time=50.1 ms
64 bytes from 75.75.76.76: icmp_seq=172 ttl=53 time=45.6 ms
64 bytes from 75.75.76.76: icmp_seq=173 ttl=53 time=49.8 ms
64 bytes from 75.75.76.76: icmp_seq=174 ttl=53 time=56.2 ms
64 bytes from 75.75.76.76: icmp_seq=175 ttl=53 time=56.6 ms
64 bytes from 75.75.76.76: icmp_seq=176 ttl=53 time=58.1 ms
64 bytes from 75.75.76.76: icmp_seq=177 ttl=53 time=51.9 ms
64 bytes from 75.75.76.76: icmp_seq=178 ttl=53 time=50.7 ms
64 bytes from 75.75.76.76: icmp_seq=179 ttl=53 time=49.0 ms
64 bytes from 75.75.76.76: icmp_seq=180 ttl=53 time=45.6 ms
64 bytes from 75.75.76.76: icmp_seq=181 ttl=53 time=77.5 ms
64 bytes from 75.75.76.76: icmp_seq=182 ttl=53 time=45.6 ms
64 bytes from 75.75.76.76: icmp_seq=183 ttl=53 time=59.3 ms
64 bytes from 75.75.76.76: icmp_seq=184 ttl=53 time=72.0 ms
64 bytes from 75.75.76.76: icmp_seq=185 ttl=53 time=68.7 ms
64 bytes from 75.75.76.76: icmp_seq=186 ttl=53 time=54.4 ms
64 bytes from 75.75.76.76: icmp_seq=187 ttl=53 time=64.1 ms
64 bytes from 75.75.76.76: icmp_seq=188 ttl=53 time=63.4 ms
64 bytes from 75.75.76.76: icmp_seq=189 ttl=53 time=55.5 ms
64 bytes from 75.75.76.76: icmp_seq=190 ttl=53 time=60.3 ms
64 bytes from 75.75.76.76: icmp_seq=191 ttl=53 time=91.9 ms
64 bytes from 75.75.76.76: icmp_seq=192 ttl=53 time=73.8 ms
64 bytes from 75.75.76.76: icmp_seq=193 ttl=53 time=52.4 ms
64 bytes from 75.75.76.76: icmp_seq=194 ttl=53 time=52.9 ms
64 bytes from 75.75.76.76: icmp_seq=195 ttl=53 time=51.3 ms
64 bytes from 75.75.76.76: icmp_seq=196 ttl=53 time=48.8 ms
64 bytes from 75.75.76.76: icmp_seq=197 ttl=53 time=51.2 ms
64 bytes from 75.75.76.76: icmp_seq=198 ttl=53 time=67.4 ms
64 bytes from 75.75.76.76: icmp_seq=199 ttl=53 time=67.0 ms
64 bytes from 75.75.76.76: icmp_seq=200 ttl=53 time=78.2 ms
64 bytes from 75.75.76.76: icmp_seq=201 ttl=53 time=72.1 ms
64 bytes from 75.75.76.76: icmp_seq=202 ttl=53 time=53.8 ms
64 bytes from 75.75.76.76: icmp_seq=203 ttl=53 time=73.3 ms
64 bytes from 75.75.76.76: icmp_seq=204 ttl=53 time=68.0 ms
64 bytes from 75.75.76.76: icmp_seq=205 ttl=53 time=62.2 ms
64 bytes from 75.75.76.76: icmp_seq=206 ttl=53 time=62.7 ms
64 bytes from 75.75.76.76: icmp_seq=207 ttl=53 time=59.9 ms
64 bytes from 75.75.76.76: icmp_seq=208 ttl=53 time=64.7 ms
64 bytes from 75.75.76.76: icmp_seq=209 ttl=53 time=56.2 ms
64 bytes from 75.75.76.76: icmp_seq=210 ttl=53 time=56.3 ms
64 bytes from 75.75.76.76: icmp_seq=211 ttl=53 time=54.5 ms
64 bytes from 75.75.76.76: icmp_seq=212 ttl=53 time=49.1 ms
64 bytes from 75.75.76.76: icmp_seq=213 ttl=53 time=53.5 ms
64 bytes from 75.75.76.76: icmp_seq=214 ttl=53 time=48.4 ms
64 bytes from 75.75.76.76: icmp_seq=215 ttl=53 time=45.6 ms
64 bytes from 75.75.76.76: icmp_seq=216 ttl=53 time=45.8 ms
64 bytes from 75.75.76.76: icmp_seq=217 ttl=53 time=75.0 ms
64 bytes from 75.75.76.76: icmp_seq=218 ttl=53 time=71.7 ms
64 bytes from 75.75.76.76: icmp_seq=219 ttl=53 time=46.7 ms
64 bytes from 75.75.76.76: icmp_seq=220 ttl=53 time=69.2 ms
64 bytes from 75.75.76.76: icmp_seq=221 ttl=53 time=67.0 ms
64 bytes from 75.75.76.76: icmp_seq=222 ttl=53 time=60.7 ms
64 bytes from 75.75.76.76: icmp_seq=223 ttl=53 time=63.8 ms
64 bytes from 75.75.76.76: icmp_seq=224 ttl=53 time=48.9 ms
64 bytes from 75.75.76.76: icmp_seq=225 ttl=53 time=51.8 ms
64 bytes from 75.75.76.76: icmp_seq=226 ttl=53 time=56.7 ms
64 bytes from 75.75.76.76: icmp_seq=227 ttl=53 time=57.1 ms
64 bytes from 75.75.76.76: icmp_seq=228 ttl=53 time=45.2 ms
64 bytes from 75.75.76.76: icmp_seq=229 ttl=53 time=53.2 ms
64 bytes from 75.75.76.76: icmp_seq=230 ttl=53 time=49.4 ms
64 bytes from 75.75.76.76: icmp_seq=231 ttl=53 time=48.4 ms
64 bytes from 75.75.76.76: icmp_seq=232 ttl=53 time=57.2 ms
64 bytes from 75.75.76.76: icmp_seq=233 ttl=53 time=50.1 ms
64 bytes from 75.75.76.76: icmp_seq=234 ttl=53 time=46.4 ms
64 bytes from 75.75.76.76: icmp_seq=235 ttl=53 time=50.5 ms
64 bytes from 75.75.76.76: icmp_seq=236 ttl=53 time=55.8 ms
64 bytes from 75.75.76.76: icmp_seq=237 ttl=53 time=49.1 ms
64 bytes from 75.75.76.76: icmp_seq=238 ttl=53 time=51.5 ms
64 bytes from 75.75.76.76: icmp_seq=239 ttl=53 time=63.6 ms
64 bytes from 75.75.76.76: icmp_seq=240 ttl=53 time=57.7 ms
64 bytes from 75.75.76.76: icmp_seq=241 ttl=53 time=53.2 ms
64 bytes from 75.75.76.76: icmp_seq=242 ttl=53 time=50.5 ms
64 bytes from 75.75.76.76: icmp_seq=243 ttl=53 time=56.5 ms
64 bytes from 75.75.76.76: icmp_seq=244 ttl=53 time=62.7 ms
64 bytes from 75.75.76.76: icmp_seq=245 ttl=53 time=63.4 ms
64 bytes from 75.75.76.76: icmp_seq=246 ttl=53 time=54.6 ms
64 bytes from 75.75.76.76: icmp_seq=247 ttl=53 time=59.7 ms
64 bytes from 75.75.76.76: icmp_seq=248 ttl=53 time=62.0 ms
64 bytes from 75.75.76.76: icmp_seq=249 ttl=53 time=53.9 ms
64 bytes from 75.75.76.76: icmp_seq=250 ttl=53 time=51.9 ms
64 bytes from 75.75.76.76: icmp_seq=251 ttl=53 time=56.2 ms
64 bytes from 75.75.76.76: icmp_seq=252 ttl=53 time=50.0 ms
64 bytes from 75.75.76.76: icmp_seq=253 ttl=53 time=57.1 ms
64 bytes from 75.75.76.76: icmp_seq=254 ttl=53 time=54.1 ms
64 bytes from 75.75.76.76: icmp_seq=255 ttl=53 time=49.3 ms
64 bytes from 75.75.76.76: icmp_seq=256 ttl=53 time=68.7 ms
64 bytes from 75.75.76.76: icmp_seq=257 ttl=53 time=48.9 ms
64 bytes from 75.75.76.76: icmp_seq=258 ttl=53 time=45.6 ms
64 bytes from 75.75.76.76: icmp_seq=259 ttl=53 time=72.2 ms
64 bytes from 75.75.76.76: icmp_seq=260 ttl=53 time=79.8 ms
64 bytes from 75.75.76.76: icmp_seq=261 ttl=53 time=75.0 ms
64 bytes from 75.75.76.76: icmp_seq=262 ttl=53 time=58.3 ms
64 bytes from 75.75.76.76: icmp_seq=263 ttl=53 time=76.0 ms
64 bytes from 75.75.76.76: icmp_seq=264 ttl=53 time=70.5 ms
64 bytes from 75.75.76.76: icmp_seq=265 ttl=53 time=49.7 ms
64 bytes from 75.75.76.76: icmp_seq=266 ttl=53 time=66.6 ms
64 bytes from 75.75.76.76: icmp_seq=267 ttl=53 time=66.5 ms
64 bytes from 75.75.76.76: icmp_seq=268 ttl=53 time=50.1 ms
64 bytes from 75.75.76.76: icmp_seq=269 ttl=53 time=60.6 ms
64 bytes from 75.75.76.76: icmp_seq=270 ttl=53 time=60.5 ms
64 bytes from 75.75.76.76: icmp_seq=271 ttl=53 time=57.8 ms
64 bytes from 75.75.76.76: icmp_seq=272 ttl=53 time=55.5 ms
64 bytes from 75.75.76.76: icmp_seq=273 ttl=53 time=52.9 ms
