PING 149.112.112.112 (149.112.112.112) 56(84) bytes of data.
64 bytes from 149.112.112.112: icmp_seq=142 ttl=56 time=19.2 ms
64 bytes from 149.112.112.112: icmp_seq=143 ttl=56 time=21.3 ms
64 bytes from 149.112.112.112: icmp_seq=144 ttl=56 time=19.2 ms
64 bytes from 149.112.112.112: icmp_seq=145 ttl=56 time=46.1 ms
64 bytes from 149.112.112.112: icmp_seq=146 ttl=56 time=20.4 ms
64 bytes from 149.112.112.112: icmp_seq=147 ttl=56 time=24.7 ms
64 bytes from 149.112.112.112: icmp_seq=148 ttl=56 time=40.0 ms
64 bytes from 149.112.112.112: icmp_seq=149 ttl=56 time=38.2 ms
64 bytes from 149.112.112.112: icmp_seq=150 ttl=56 time=34.7 ms
64 bytes from 149.112.112.112: icmp_seq=151 ttl=56 time=34.8 ms
64 bytes from 149.112.112.112: icmp_seq=152 ttl=56 time=15.6 ms
64 bytes from 149.112.112.112: icmp_seq=153 ttl=56 time=25.9 ms
64 bytes from 149.112.112.112: icmp_seq=154 ttl=56 time=25.9 ms
64 bytes from 149.112.112.112: icmp_seq=155 ttl=56 time=24.8 ms
64 bytes from 149.112.112.112: icmp_seq=156 ttl=56 time=22.0 ms
64 bytes from 149.112.112.112: icmp_seq=157 ttl=56 time=22.8 ms
64 bytes from 149.112.112.112: icmp_seq=158 ttl=56 time=22.5 ms
64 bytes from 149.112.112.112: icmp_seq=159 ttl=56 time=16.0 ms
64 bytes from 149.112.112.112: icmp_seq=160 ttl=56 time=15.9 ms
64 bytes from 149.112.112.112: icmp_seq=161 ttl=56 time=21.3 ms
64 bytes from 149.112.112.112: icmp_seq=162 ttl=56 time=47.9 ms
64 bytes from 149.112.112.112: icmp_seq=163 ttl=56 time=28.4 ms
64 bytes from 149.112.112.112: icmp_seq=164 ttl=56 time=44.3 ms
64 bytes from 149.112.112.112: icmp_seq=165 ttl=56 time=44.4 ms
64 bytes from 149.112.112.112: icmp_seq=166 ttl=56 time=24.5 ms
64 bytes from 149.112.112.112: icmp_seq=167 ttl=56 time=37.7 ms
64 bytes from 149.112.112.112: icmp_seq=168 ttl=56 time=38.7 ms
64 bytes from 149.112.112.112: icmp_seq=169 ttl=56 time=17.3 ms
64 bytes from 149.112.112.112: icmp_seq=170 ttl=56 time=29.3 ms
64 bytes from 149.112.112.112: icmp_seq=171 ttl=56 time=27.0 ms
64 bytes from 149.112.112.112: icmp_seq=172 ttl=56 time=28.8 ms
64 bytes from 149.112.112.112: icmp_seq=173 ttl=56 time=22.9 ms
64 bytes from 149.112.112.112: icmp_seq=174 ttl=56 time=22.0 ms
64 bytes from 149.112.112.112: icmp_seq=175 ttl=56 time=20.2 ms
64 bytes from 149.112.112.112: icmp_seq=176 ttl=56 time=36.4 ms
64 bytes from 149.112.112.112: icmp_seq=177 ttl=56 time=16.8 ms
64 bytes from 149.112.112.112: icmp_seq=178 ttl=56 time=46.5 ms
64 bytes from 149.112.112.112: icmp_seq=179 ttl=56 time=16.5 ms
64 bytes from 149.112.112.112: icmp_seq=180 ttl=56 time=38.5 ms
64 bytes from 149.112.112.112: icmp_seq=182 ttl=56 time=36.8 ms
64 bytes from 149.112.112.112: icmp_seq=183 ttl=56 time=28.9 ms
64 bytes from 149.112.112.112: icmp_seq=184 ttl=56 time=33.2 ms
64 bytes from 149.112.112.112: icmp_seq=185 ttl=56 time=33.0 ms
64 bytes from 149.112.112.112: icmp_seq=186 ttl=56 time=25.8 ms
64 bytes from 149.112.112.112: icmp_seq=187 ttl=56 time=25.3 ms
64 bytes from 149.112.112.112: icmp_seq=188 ttl=56 time=25.9 ms
64 bytes from 149.112.112.112: icmp_seq=189 ttl=56 time=20.7 ms
64 bytes from 149.112.112.112: icmp_seq=190 ttl=56 time=22.3 ms
64 bytes from 149.112.112.112: icmp_seq=191 ttl=56 time=20.1 ms
